i_id,商品名称,类目,品牌,商品状态,SKU数,主图URL,成本价(最低),成本价(最高),售价,库存总量,规格属性(首个SKU),颜色(从规格提取),重量(kg),长(cm),宽(cm),高(cm),体积,供应商,标签,关联店铺,缺失字段,缺失字段数,完整度评分,Agent可用等级,审核状态,质量警告,最后更新时间
YH06K37B02S06,魔法城堡收纳架,收纳架类,,未知,0,组合2；维也纳白,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06K37B03S06,魔法城堡收纳架,收纳架类,,未知,0,组合3；维也纳白,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06K37B04S06,魔法城堡收纳架,收纳架类,,未知,0,组合4；维也纳白,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06K38,萌熊铁杆收纳架,成品类 - YH26铁杆收纳架类,英禾,未知,20,http://img10.360buyimg.com/n0/jfs/t1/104421/26/30328/69663/63101984Eadf67e10/8436a5af4b68a951.jpg,71.3,157.1,,164,组合1;玉莲白,"檀木褐, 玉莲白","4.3, 5.245, 7.72, 6.04, 4.3, 8.89, 7.72, 6.04, 8.45, 7.39, 6.42, 6.42, 5.14, 5.14, 4.495, 3.9, 4.495, 3.9, 5.245, 8.89","33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33","27, 32, 30, 27, 27, 29, 30, 27, 29, 29, 30, 30, 27, 27, 32, 27, 32, 27, 32, 29","65, 65, 85.5, 83, 65, 104, 85.5, 83, 104, 104, 85.5, 85.5, 83, 83, 65, 65, 65, 65, 65, 104",,,"大件产品, 未上架, 桥下仓库, 铁杆收纳架",,material,1,100,L3,高可用待确认,"SKU命名不一致(2种): 五号萌熊铁杆收纳架, 萌熊铁杆收纳架 | 商品状态未知",2026-03-12 17:16:44.590
YH06K38B01S06,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i3/2214047632512/O1CN015xrDIZ1UQXgj0hesp_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B01S12,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i2/2214047632512/O1CN01xhPh8A1UQXgpFZaPT_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B02S06,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i2/2214047632512/O1CN01yq05Zu1UQXglC92MZ_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B02S12,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i1/2214047632512/O1CN01EWx0rh1UQXgj0hziC_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B03S06,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i4/2214047632512/O1CN01TPxLjB1UQXggdbNEU_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B03S12,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i4/2214047632512/O1CN01ec88sU1UQXgnzSiDb_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B04S12,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i3/2214047632512/O1CN01hBo4nx1UQXgeM5NSP_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B05S06,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i3/2214047632512/O1CN01TwFy101UQXghRiUjO_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K38B05S12,萌熊铁杆收纳架,铁杆收纳架,,未知,0,https://img.alicdn.com/bao/uploaded/i1/2214047632512/O1CN01bgrh0w1UQXgdaYAex_!!2214047632512.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-22 17:17:59.633
YH06K39,A2号收纳柜,成品类 - YH06收纳架类,,未知,6,https://img.pddpic.com/mms-material-img/2022-09-16/8155a2c5-d9e1-4394-ae22-92123bc15740.jpeg.a.jpeg,179.4,413.4,,0,组合2;玉莲白,玉莲白,"15.6, 15.5, 11.6, 19.3, 21.3, 26.25","44, 55, 46, 64, 67, 68","37.5, 37.5, 37, 38.5, 37.5, 37","95.5, 72.5, 72, 63, 95.5, 96.5",,,"大件产品, 收纳架, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 14:21:28.660
YH06K39B01S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i4/2117148218/O1CN015v0DwT2AZteWLNNlP_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-10 16:09:07.810
YH06K39B02S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i1/2117148218/O1CN01qUVgrL2AZteSRqdgW_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-10 16:09:17.310
YH06K39B03S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i3/2117148218/O1CN01NwnXJd2AZteXAxOnJ_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-10 16:09:27.893
YH06K39B04S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i4/2117148218/O1CN01nRwfuB2AZteTCf88R_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-10 16:09:34.923
YH06K39B05S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i4/2117148218/O1CN01Xy8p4b2AZtePl7kW4_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-11-10 16:09:43.423
YH06K39B06S06,A2号收纳柜,收纳架类,,未知,0,https://img.alicdn.com/bao/uploaded/i1/2117148218/O1CN01ULODE32AZteO8WxRS_!!2117148218.jpg_30x30.jpg,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-09-26 14:41:27.140
YH06K40,A甜点屋铁杆收纳架,收纳架类,,未知,5,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01IzDhH91I3OI9QpD8h_!!0-item_pic.jpg,69.1,147.3,,98,组合2;玉莲白,玉莲白,"5.165, 7.97, 9.09, 4.25, 6.14","41, 41, 41, 41, 41","21.5, 26.5, 25, 21.5, 23","70, 90, 103, 70, 83",,,"大件产品, 铁杆收纳架",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-20 11:26:01.167
YH06K41,B2号收纳柜,成品类 - YH06收纳架类,,未知,6,https://img.pddpic.com/mms-material-img/2024-05-30/0f11e83c-f0fe-4852-b50e-6c3a79eda219.jpeg.a.jpeg,121.5,345.6,,,组合6;玉莲白,玉莲白,"24.83, 16.8, 12.88, 13.82, 9.15, 19.12","70, 64, 55, 44, 46, 62","33.5, 35, 33.5, 33.5, 33.5, 33.5","96.5, 73, 72, 95.5, 72, 95.5",,,"大件产品, 收纳架, 电商下架",,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-01-30 14:22:46.067
YH06K41B01S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:09:15.320
YH06K41B02S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:09:28.193
YH06K41B03S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:09:32.397
YH06K41B04S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:09:44.580
YH06K41B05S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:09:54.373
YH06K41B06S06,B2号收纳柜,收纳架类,,未知,0,,,,,,,,,,,,,,,,"main_image, sku_list, price, stock, properties_value, material, weight, color",8,30,L0,待运营补全,商品存在但没有 SKU | 主图缺失 | 商品状态未知,2022-12-05 16:10:03.060
YH06K42,B萌鹿铁杆收纳架,成品类 - YH06收纳架类,,未知,7,,,,,0,组合8;琥珀黄,琥珀黄,"6.74, 5.56, 6.41, 7.53, 4.85, 3.67, 4.51","34, 34, 34, 35, 34, 34, 34","23, 23, 21.5, 27, 21, 21, 21","83, 83, 103, 83, 83, 63, 83",,,"大件产品, 未上架, 桥下仓库",,"main_image, price, material",3,85,L3,高可用待确认,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2026-01-30 14:23:52.153
YH06K43,3号云屋收纳柜,成品类 - YH06收纳架类,,未知,28,https://cbu01.alicdn.com/img/ibank/O1CN015lUPsG1wZWrPnZGmv_!!2921956322-0-cib.jpg,79.1,490.4,,106,组合2;茉莉白,"暮云灰, 茉莉白","8.58, 12.8, 15, 18.63, 20.03, 8.58, 12.8, 15, 18.63, 16.09, 26.5, 17.85, 20.03, 18.05, 28.7, 19.25, 22.05, 31.35, 9.28, 14.88, 7.6, 4.83, 24.68, 16.09, 26.5, 5.84, 4.83, 24.68","44, 106, 72.5, 106, 106, 44, 106, 72.5, 106, 72.5, 106, 106, 106, 106, 108, 106, 106, 108, 44, 106, 67, 37.5, 106, 72.5, 106, 37.5, 37.5, 106","33.5, 36, 34.5, 36, 36, 33.5, 36, 34.5, 36, 34.5, 37, 36, 36, 39.5, 42.5, 36, 39.5, 42.5, 33.5, 36, 33.5, 33.5, 37, 34.5, 37, 33.5, 33.5, 37","72, 37, 58, 49, 49, 72, 37, 58, 49, 58, 61.5, 46.5, 49, 55, 63, 46.5, 55, 63, 72, 38, 38, 56, 61.5, 58, 61.5, 66.5, 56, 61.5",,,"大件产品, 小件产品, 桥下仓库, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-03 17:58:48.050
YH06K44,3号奶油屋收纳柜,成品类 - YH06收纳架类,,未知,11,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240203/5C7932453AE94AD9963FF8D23E83B329.jpg?name=O1CN01saMFtf1I3OQfqklkG_!!2200785690837.jpg,80.9,429.8,,53,组合9;奶酪白,奶酪白,"16.14, 28.05, 20.8, 24.73, 15.05, 12.8, 18.68, 8.58, 7.75, 4.83","72.5, 106, 106, 106, 72.5, 106, 106, 44, 67, 37.5","34.5, 37, 36, 36, 33.5, 36, 36, 33.5, 33.5, 33.5","58, 61.5, 49, 60, 57, 37, 42, 72, 38, 56",,,"大件产品, 桥下仓库, 电商下架",,material,1,100,L3,高可用待确认,"SKU命名不一致(2种): 3号奶油屋收纳柜, 五号奶油屋收纳柜 | 商品状态未知",2026-01-30 14:23:06.390
YH06K45,4号胶囊收纳柜,成品类 - YH06收纳架类,,未知,19,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01wMkj4H1I3OSD6yhyF_!!2200785690837.jpg,107.3,470.2,,208,组合3;茉莉白,"暮云灰, 茉莉白","13.34, 13.95, 19.74, 18.19, 19.42, 18.85, 24.6, 23.71, 31.89, 12.36, 16.9, 17.89, 16.93, 21.41, 21.72, 16.9, 6.91, 7.63, 12.84","50, 50, 60, 46, 53.5, 53.5, 67, 72, 106.5, 36, 46, 46, 46, 59, 58, 46, 34, 34, 44.5","34, 34, 34, 34, 34, 34, 37, 34.5, 78, 34, 34, 34, 34, 33, 34, 34, 20, 26.5, 34","90.5, 90.5, 90.5, 106, 106, 106, 95, 90.5, 35, 90.5, 106, 106, 106, 94.5, 106.5, 106, 90.5, 90.5, 90.5",,,"大件产品, 桥下仓库, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-25 10:15:45.780
YH06K46,小熊收纳柜,成品类 - YH06收纳架类,英禾,未知,8,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240528/C9A7C258CAB74B3D8E30D815CF7A4B2A.jpg?name=1.jpg,80.9,321.9,,5,组合1;茉莉白,茉莉白,"5.25, 8.95, 13.3, 8, 15.7, 19.1, 16.75, 21.25","37.5, 44, 106, 68.5, 72.5, 106, 72.5, 106","33.5, 33.5, 36, 33.5, 34.5, 36, 34.5, 36","56, 72, 37, 38, 58, 49, 58, 49",,,"桥下仓库, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-20 10:59:22.230
YH06K47,五斗收纳柜,成品类 - YH06收纳架类,,未知,8,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240923/608A92C5EFA949BD837DDB2CB5147FC0.png?name=4c5fc944-b1f3-432d-8a27-7423e5da954c.png,105.6,548,,122,组合1;茉莉白,茉莉白,"6.8, 7.85, 12.05, 15.45, 34.8, 14.45, 19.55, 17.7","34, 33, 121, 127, 124, 45, 121, 90","33, 31, 32.5, 33, 33, 33.5, 33, 33","66.5, 92.5, 32.5, 55, 72.5, 94, 44.5, 71",,,,,material,1,100,L3,高可用待确认,商品状态未知,2025-11-20 10:59:39.813
YH06K50,蛋糕收纳柜,成品类 - YH06收纳架类,英禾,未知,8,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01GyuRvp1I3OVHDOw0c_!!2-item_pic.png,97.8,269.6,,148,组合1;茉莉白,"琥珀棕, 茉莉白","5.7, 5.7, 10.24, 10.24, 10.7, 10.7, 16.21, 16.21","40.5, 40.5, 40.5, 40.5, 40.5, 40.5, 43.5, 43.5","16, 16, 28, 28, 31.5, 31.5, 40, 40","68, 68, 74, 74, 68, 68, 74, 74",,,"收纳架, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-03 10:57:23.467
YH06K51,雅典收纳柜,成品类 - YH06收纳架类,浙江英禾,未知,5,https://img.alicdn.com/bao/uploaded/i1/2200785690837/O1CN01jc0CGu1I3OVZK9Xe6_!!2-item_pic.png,71,225.6,,,组合9;茉莉白,茉莉白,"4.61, 5.54, 8.98, 10.39, 13.39","40.5, 40.5, 40.5, 40.5, 43.5","16, 16, 28, 31.5, 40","68, 68, 74, 68, 74",,,"收纳架, 桥下仓库",,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-03 17:59:15.560
YH06K52,六号星河收纳架,成品类 - YH06收纳架类,英禾,未知,9,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250831/9BA1C7ACFCD546C3A4527A5880C92CD9.png?name=0261fd25-199e-4ecc-b072-3b759bee7de7,90.4,218.2,,742,组合1;茉莉白,茉莉白,"5.9, 6.7, 5.61, 6.4, 6.5, 5.9, 7.7, 9.3, 13.6","34, 34, 34, 34, 34, 34, 34, 38.5, 43","25, 28.5, 25, 25, 28.5, 25, 28, 34.5, 37.5","91, 91, 91, 91, 91, 91, 102, 91, 91",,,"大件产品, 桥下仓库, 电商下架, 铁杆收纳架",,material,1,100,L3,高可用待确认,商品状态未知,2026-05-18 16:36:51.020
YH06K53,九号防夹滑门收纳柜,成品类 - YH06收纳架类,,未知,10,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260402/908DAC80256D420DBE99A45CB25CFD3D.png?name=组合1暮云灰.png,44.1,325.1,,839,组合1，暮云灰,"暮云灰, 琥珀棕","2.65, 19.4, 14.1, 14.1, 4.4, 4.4, 4.4, 2.65, 2.65, 19.4","31, 45, 44, 44, 34, 34, 31, 31, 31, 45","14, 38, 29.5, 29.5, 14, 14, 14, 14, 14, 38","41, 66, 66, 66, 65, 65, 65, 41, 41, 66",,,"大件产品, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2026-05-22 09:10:07.967
YH06k34,小木屋收纳架,成品类 - YH06收纳架类,,未知,10,https://img.alicdn.com/bao/uploaded/i1/2200785690837/O1CN01YX87ee1I3OOh84KoH_!!0-item_pic.jpg,153.1,298.3,,0,组合5;玉莲白,玉莲白,"9.57, 19.555, 16.55, 19.155, 10.68, 12.13, 12.945, 14.25, 14.36, 14.53","33.5, 62.5, 49, 62.5, 46, 35.5, 55, 59, 47, 59","33.5, 33.5, 33.5, 33.5, 33.5, 33.5, 33.5, 33.5, 33.5, 33.5","72, 95.5, 95.5, 95.5, 72, 95.5, 72, 73, 95.5, 73",,,"大件产品, 收纳架, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 14:13:11.287
YH06k34B01S06,小木屋收纳架,收纳架类,,未知,0,组合1,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B02S06,小木屋收纳架,收纳架类,,未知,0,组合2,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B03S06,小木屋收纳架,收纳架类,,未知,0,组合3,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B04S06,小木屋收纳架,收纳架类,,未知,0,组合4,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B05S06,小木屋收纳架,收纳架类,,未知,0,组合5,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B06S06,小木屋收纳架,收纳架类,,未知,0,组合6,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B07S06,小木屋收纳架,收纳架类,,未知,0,组合7,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B08S06,小木屋收纳架,收纳架类,,未知,0,组合8,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B09S06,小木屋收纳架,收纳架类,,未知,0,组合9,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k34B10S06,小木屋收纳架,收纳架类,,未知,0,组合10,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35,1号收纳架,成品类 - YH06收纳架类,,未知,16,http://img10.360buyimg.com/n0/jfs/t1/207532/38/19064/150290/6225af8eE7cefe9f0/60f33c27f817dfdc.jpg,67.3,254,,251,组合8;暮云灰,"暮云灰, 琥珀黄","5.8, 5.8, 4.4, 4.4, 7.3, 7.3, 9.1, 9.1, 13.4, 12.2, 12.2, 13.4, 13.4, 16, 16, 13.4","34, 34, 34, 34, 34, 34, 40.5, 40.5, 52.5, 41, 41, 52.5, 52.5, 48, 48, 52.5","30.5, 30.5, 30.5, 30.5, 30.5, 30.5, 34, 34, 34, 34, 34, 34, 34, 34.5, 34.5, 34","85, 85, 63.5, 63.5, 110, 110, 90.5, 90.5, 85, 109, 109, 109, 109, 109, 109, 85",,,"大件产品, 收纳架",,material,1,100,L3,高可用待确认,商品状态未知,2026-05-23 15:06:31.453
YH06k35B01S11,1号收纳架,收纳架类,,未知,0,组合1；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B01S13,1号收纳架,收纳架类,,未知,0,组合1；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B02S11,1号收纳架,收纳架类,,未知,0,组合2；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B02S13,1号收纳架,收纳架类,,未知,0,组合2；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B03S11,1号收纳架,收纳架类,,未知,0,组合3；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B03S13,1号收纳架,收纳架类,,未知,0,组合3；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B04S11,1号收纳架,收纳架类,,未知,0,组合4；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B04S13,1号收纳架,收纳架类,,未知,0,组合4；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B05S11,1号收纳架,收纳架类,,未知,0,组合5；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B05S13,1号收纳架,收纳架类,,未知,0,组合5；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B06S11,1号收纳架,收纳架类,,未知,0,组合6；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B06S13,1号收纳架,收纳架类,,未知,0,组合6；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B07S11,1号收纳架,收纳架类,,未知,0,组合7；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k35B07S13,1号收纳架,收纳架类,,未知,0,组合7；多伦多灰,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH06k48,魔法城堡收纳架,成品类 - YH06收纳架类,,未知,4,http://qimg.xiaohongshu.com/arkgoods/1040g0o031a5q1up76u005nf2fmq08bjpolk40q8,208.3,283.8,,,组合1;茶褐棕,茶褐棕,"12.8, 14.65, 19.57, 19.01","40, 46, 57, 57","41, 41, 42.5, 42.5","94, 95, 95, 92",,,,,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-03 17:58:48.050
YH07K01,小狗滑梯,成品类 - YH07滑梯类,,未知,4,,146.8,167.8,,0,豪华版;琥珀黄,"玉莲白, 琥珀黄","9.58, 9.58, 9.57, 9.57","90, 90, 90, 90","21, 21, 21, 21","62.5, 62.5, 62.5, 62.5",,,"大件产品, 滑梯, 电商下架",,"main_image, material",2,95,L3,高可用待确认,主图缺失 | 商品状态未知 | 所有SKU图片缺失,2026-02-02 13:51:24.367
YH07K01B01S06,小狗滑梯,滑梯类,,未知,0,基础版；维也纳白,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH07K01B01S11,小狗滑梯,滑梯类,,未知,0,基础版；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH07K01B02S06,小狗滑梯,滑梯类,,未知,0,豪华版；维也纳白,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
YH07K01B02S11,小狗滑梯,滑梯类,,未知,0,豪华版；圣保罗黄,,,,,,,,,,,,,,,"sku_list, price, stock, properties_value, material, weight, color",7,40,L0,待运营补全,商品存在但没有 SKU | 商品状态未知,2022-07-12 11:42:34.343
